"trial","MatingSuccess","rel_repo_fitness"
"C1","1.16666666666667","1.47368421052632"
"C1","0","0"
"C1","1.16666666666667","1.51052631578947"
"C1","1.16666666666667","0.7"
"C1","1.16666666666667","1.28947368421053"
"C1","1.16666666666667","1.28947368421053"
"C1","1.16666666666667","0.736842105263158"
"C3","1","0.618357487922705"
"C3","1","0.927536231884058"
"C3","1","0.927536231884058"
"C3","1","1.1207729468599"
"C3","1","1.6231884057971"
"C3","1","0.772946859903382"
"C3","1","1.31400966183575"
"C3","1","0.695652173913043"
"C4","0","0"
"C4","0","0"
"C4","1.6","1.6"
"C4","1.6","2.01481481481481"
"C4","1.6","1.54074074074074"
"C4","0","0"
"C4","1.6","1.3037037037037"
"C4","1.6","1.54074074074074"
"C5","1","1.36170212765957"
"C5","1","1.14893617021277"
"C5","1","0.936170212765957"
"C5","1","1.06382978723404"
"C5","1","1.06382978723404"
"C5","1","1.06382978723404"
"C5","1","0.765957446808511"
"C5","1","0.595744680851064"
"C6","1","0.753846153846154"
"C6","1","1.14871794871795"
"C6","1","1.22051282051282"
"C6","1","1.36410256410256"
"C6","1","0.753846153846154"
"C6","1","0.78974358974359"
"C6","1","0.969230769230769"
"C7","1.14285714285714","1.51724137931034"
"C7","0","0"
"C7","1.14285714285714","1.93103448275862"
"C7","1.14285714285714","0.32183908045977"
"C7","1.14285714285714","0.689655172413793"
"C7","1.14285714285714","1.19540229885057"
"C7","1.14285714285714","0.873563218390805"
"C7","1.14285714285714","1.47126436781609"
"C8","1","1.12418300653595"
"C8","1","0.758169934640523"
"C8","1","1.12418300653595"
"C8","1","1.33333333333333"
"C8","1","1.15032679738562"
"C8","1","1.38562091503268"
"C8","1","0.65359477124183"
"C8","1","0.470588235294118"
