trial_num,fishID,MatingSuccess,days_mated,mate_cat,totalEggs,NumDeveloped,NumUndeveloped,length
C1,1,2,"1,2",m,60,60,0,10.102
C1,2,1,3,s,0,0,,9.409
C1,3,1,1,s,35,35,0,10.408
C1,4,2,"1,1",m,60,58,2,9.003
C1,5,1,7,s,40,40,0,9.755
C1,6,0,,0,0,0,0,9.739
C1,7,0,,0,0,0,0,9.285
C1,8,0,,0,0,0,0,9.916
C3,1,0,,0,0,0,0,9.85
C3,2,0,,0,0,0,0,9.6
C3,3,1,5,s,24,24,0,8.868
C3,4,2,"1,3",m,44,44,0,8.825
C3,5,1,3,s,42,41,1,10.321
C3,6,2,"1,1,5",m,63,63,0,9.613
C3,7,1,10,s,18,18,0,9.786
C3,8,0,,0,0,0,0,9.526
C4,1,3,"2,2,4",m,87,84,3,9.462
C4,2,0,,0,0,0,0,9.956
C4,3,0,,0,0,0,0,9.298
C4,4,0,,0,0,0,0,9.276
C4,5,0,,0,0,0,0,8.943
C4,6,0,,0,0,0,0,9.797
C4,7,0,,0,0,0,0,8.864
C4,8,2,"3,7",m,48,34,14,9.559
C5,1,2,"10,12",m,43,33,10,10.43
C5,2,1,1,s,25,25,0,9.379
C5,3,0,,0,0,0,0,9.897
C5,4,0,,0,0,0,0,10.114
C5,5,3,"1,7,13",m,71,64,7,9.558
C5,6,1,6,s,27,24,3,9.725
C5,7,0,,0,0,0,0,9.004
C5,8,0,,0,0,0,0,9.48
C6,1,0,,0,0,0,0,9.726
C6,2,0,,0,0,0,0,9.318
C6,3,1,1,s,34,32,2,9.835
C6,4,0,,0,0,0,0,8.879
C6,5,0,,0,0,0,0,9.713
C6,6,1,2,s,38,38,0,11.251
C6,7,2,"1,2",m,48,46,2,9.543
C6,8,3,"1,1,3",m,54,43,11,10.735
C7,1,0,,0,0,0,0,9.114
C7,2,1,1,s,26,25,1,9.971
C7,3,2,"4,9",m,47,37,10,10.007
C7,4,0,,0,0,0,0,9.468
C7,5,0,,0,0,0,0,10.252
C7,6,2,"1,7",m,26,15,11,10.416
C7,7,0,,0,0,0,0,9.891
C7,8,2,"1,9",m,75,64,11,9.164
C8,1,1,1,s,44,43,1,9.965
C8,2,0,,0,0,0,0,9.197
C8,3,1,3,s,53,52,1,9.974
C8,4,1,1,s,25,25,0,10.514
C8,5,1,2,s,51,51,0,9.553
C8,6,1,2,s,29,29,0,10.163
C8,7,0,,0,0,0,0,11.0949
C8,8,3,"1,1,2",m,104,95,9,11.604
E1,1,1,7,s,58,58,0,9.91
E1,2,1,4,s,38,38,0,9.459
E1,3,1,1,s,28,28,0,10.704
E1,4,1,12,s,37,33,4,10.654
E1,5,1,2,s,35,35,0,10.583
E1,6,1,10,s,31,20,11,10.08
E1,7,0,,0,0,0,0,10.449
E1,8,0,,0,0,0,0,10.664
E3,1,1,5,s,16,16,0,10.205
E3,2,1,1,s,33,32,1,9.62
E3,3,0,,0,0,0,0,9.929
E3,4,1,4,s,21,21,0,9.624
E3,5,0,,0,0,0,0,8.847
E3,6,1,5,s,20,14,6,9.423
E3,7,3,"1,4,9",m,85,85,0,9.83
E3,8,0,,0,0,0,0,9.568
E4,1,0,,0,0,0,0,9.69
E4,2,0,,0,0,0,0,8.674
E4,3,1,4,s,30,30,0,8.862
E4,4,0,,0,0,0,0,9.631
E4,5,2,"2,3",m,51,45,6,10.063
E4,6,1,2,s,27,24,3,9.283
E4,7,2,"2,2",m,54,54,0,9.893
E4,8,0,,0,0,0,0,9.736
E5,1,1,2,s,22,18,4,10.028
E5,2,0,,0,0,0,0,10.592
E5,3,1,1,s,32,22,10,10.998
E5,4,2,"2,6",m,77,72,5,11.076
E5,5,1,1,s,18,17,1,9.725
E5,6,2,"1,3",m,58,49,9,10.072
E5,7,1,3,s,32,31,1,9.283
E5,8,0,,0,0,0,0,9.363
E6,1,0,,0,0,0,0,9.726
E6,2,2,"1,2",m,59,55,4,9.318
E6,3,2,"1,4",m,75,75,0,9.835
E6,4,1,1,s,34,28,6,8.879
E6,5,1,1,s,60,60,0,9.713
E6,6,1,1,s,54,53,1,11.251
E6,7,0,,0,0,0,0,9.543
E6,8,1,1,s,24,22,2,10.735
E7,1,0,,0,0,0,0,9.668
E7,2,3,"1,1,4",m,102,101,1,9.996
E7,3,1,2,s,24,24,0,9.31
E7,4,0,,0,0,0,0,9.369
E7,5,4,"1,1,2,7",m,104,102,2,10.355
E7,6,0,,0,0,0,0,9.56
E7,7,0,,0,0,0,0,10.065
E7,8,0,,0,0,0,0,10.315
E8,1,1,4,s,7,0,7,10.189
E8,2,0,,0,0,0,0,10.748
E8,3,0,,0,0,0,0,8.918
E8,4,2,"1,13",m,78,70,8,10.769
E8,5,3,"1,2,5",m,126,125,1,10.9
E8,6,0,,0,0,0,0,11.103
E8,7,0,,0,0,0,0,10.9
E8,8,1,1,s,17,11,6,9.999
