"trial_num","I_1","I_1per","I_2","I_2per","I_3","I_3per","I_12","I_12per","I","Iper","I_s","Sex"
12,3.42857142857143,99.1065264939068,4.5587653343964e-05,0.00131775990906251,0.0089603840767171,0.259009491385967,3.4287537791848,99.111797533543,3.45948097452716,100,3.42857142857143,"F"
2,2.28571428571429,116.986642150235,0.063831103230728,3.26698156387221,0.00366433288663797,0.187546625056199,1.9401847408986,99.3018678701226,1.95382502113271,100,2.28571428571429,"F"
3,1.05142857142857,67.9288994467931,0.0877159015316382,5.66699899255329,0.0253098332904321,1.63517443535408,1.42695587184501,92.1903252085591,1.54783690004006,100,1.05142857142857,"F"
4,1.3968253968254,46.6352963497251,1.32392710170488,44.2014677523489,0.0668806417481616,2.23291941503494,2.49892220262591,83.4305975100581,2.99521072269037,100,1.3968253968254,"F"
5,2.28571428571429,103.209252897278,0.0685781064503363,3.09657912018403,0.00150456024546051,0.0679369857569046,2.21522556390977,100.02640175941,2.21464085975819,100,2.28571428571429,"F"
6,3.42857142857143,94.8927301865763,0.0461327209309945,1.27681745335593,0,0,3.61310231229541,100,3.61310231229541,100,3.42857142857143,"F"
8,3.42857142857143,47.6079749984747,0.173046190167739,2.40286045273372,0.363295107351486,5.04459211312517,4.12075618924239,57.2194168094096,7.20167456960998,100,3.42857142857143,"F"
12,3.42857142857143,99.1065264939068,4.5587653343964e-05,0.00131775990906251,0.0089603840767171,0.259009491385967,3.4287537791848,99.111797533543,3.45948097452716,100,3.42857142857143,"M"
2,2.28571428571429,67.8608401041503,0.253992838260445,7.54082323084622,0.00684330356709662,0.203171644003521,3.61080808177317,107.201705574242,3.36823753169907,100,2.28571428571429,"M"
3,0.32,81.3133376111468,0.126661000616514,32.185089704051,0.0244555324898754,6.21425303065502,0.335792205093405,85.3262029373484,0.393539374229466,100,0.32,"M"
4,1.3968253968254,46.2715753669192,1.51384539706535,50.148008150033,0.0558961245486065,1.85162851824411,2.59471219410751,85.9530626504763,3.0187547878995,100,1.3968253968254,"M"
5,1.14285714285714,83.0748015945183,0.126756034823902,9.21395338841556,0.00177829837866649,0.129265311860626,1.39636921250495,101.502708371349,1.37569650594574,100,1.14285714285714,"M"
6,3.42857142857143,94.8927301865763,0.0461327209309945,1.27681745335593,0,0,3.61310231229541,100,3.61310231229541,100,3.42857142857143,"M"
8,3.42857142857143,47.6079749984747,0.173046190167739,2.40286045273372,0.363295107351486,5.04459211312517,4.12075618924239,57.2194168094096,7.20167456960998,100,3.42857142857143,"M"
